82,83,170,155,94,74
83,85,86,90,87.5,157
87,86,167,177,84,89
80,84,83,82,86,160
81,83,98,87,85,90
81,74,87,86,84,88
81,74,150,176,76.5,79
84,84,130,175,96,74
87,86,129.5,175,96,74
79,85,166,174,79,74
79.5,86,98,86,112,128
81,84,164,176,85,73.5
81,80.5,167,174,82,72
87,86,87,86,84,88
84,85,147.5,175,77,78
85,89,98,86,112,106
81,82,167,175,83,87
79,87,168,180,86,72
87,85,154,181,77,76
86,81,164,173,84,72
81,75,164.5,173,81,73
86.5,84.5,150,175,76,78
81,83,147.5,175.5,80,79
83,86,98,83.5,115,86
87,86,87,84,83,86
80,82,150.5,177,78,78
85,86.5,83,88,87,158
87,86.5,168,174,81,75
86,87,98,88,86,90
91,88,153,178.5,79,79
80.5,93,98,86,119,87
89,99,90,95,85,108
85.5,86.5,82,87,86,161.5
82,80,98,85,119,86
81,80,90,90,87,160
86,87,94.5,86,102,128
84,82,83,88,87,158
86,89,170,171,78,72
80,82,87,85,83,86
86,86,92,90.5,88,159.5
87,85,98,88,126,85
80,83,87,85,82,87
87,86,147,178,81,79
86,86,98,88,126,86
87,85.5,84,90,86,159
84,85,83,87,86,159.5
85,83.5,170,168,81,71
79,89,83,86,86,159
88,86.5,88,84,87,148
83,85,98,86,119,85
88,86,153,177.5,79,79
83,80,98,84,119,86
81,82,98,84,115,86
82,87,133,173,94,77
88.5,85.5,87.5,84,85,87
82,83,98,86.5,110,128
81,83,82,87,86,161
84,83,84,90,87,158
86,85,98,85,85,90
84,89,98,83,115,86
79,85,167,175,82,88
81,80,92,89.5,87,157
83,89,86,83,84,88
83,87.5,88,84.5,88,85
79,85,88,84,85,88
80.5,85,90,86,97.5,128
86,86,87,84,83,86
85,87,86,83,84,88
80,82,88,84,88,81
82,84,98,85,115,86
87,86,87,85,83,88
87,86,152.5,180,78,78
85,86,169.5,161,88,71
86,85.5,98,86,115,128
86,88,118.5,173.5,95,73.5
92,87.5,133,173,94,76
83,84,83,87,87,158
87,86,165.5,173,80,71
81,84,98,87,126,85
83,87.5,169,178.5,82,72
83,89,167,172,83,74.5
84,88,152,172.5,77.5,79.5
81.5,84,165,177.5,83,88
86,79,165,176,83,87
82,83,167,172,83.5,74.5
86,80,166,172,83,75
82,87,92,90.5,88,160.5
86,86,98,87,126,85
87,87,169,180,86,72
84,85,152.5,179.5,78.5,78
82,85,83.5,90.5,87,159
82,80,86,85,84,87.5
85.5,79,165.5,176,86,74
87,85,98,86,113,124
86,87,83,94,86,157
79,85,89,94,66,159
83,81,89.5,101,85,112
83.5,86,98,84.5,119,86.5
82,80,99,86,107,128
81.5,83,168,174,81,74.5
81.5,82,87,84,85,88
87,86,98,86.5,110,128
82,81.5,149,175,76.5,78.5
83,87,165,176,83.5,87
83,91,164,176.5,84.5,88
79,85.5,168,177.5,78.5,72
87,84,92,90,88,162
82,83,86,85,84,87.5
86,89.5,143,174.5,72,79
85,81,87,84,83,87
84.5,87.5,84,92,86,128
86,86,170,158,92,72
87,84.5,89,102.5,85,112
82,83.5,98,85,119,87
81.5,81,90,90,87,159
89,99,87,91,88,159
81.5,82,165.5,174,80.5,74
81,82,166,172,79,73
81,81.5,86.5,85,83,87
85,87.5,88,84.5,84,87
83,86,98,86,112,124
81.5,81,84,87,88,157.5
82,82,98,89,115,86
83,85,165,175.5,84,74
86,87,86.5,85,84,87
87,85,91,103.5,87,98
86,83.5,152.5,175,83,78
85,86,148.5,175,77.5,78.5
82,85.5,133.5,173,97,74
81.5,81,86,91,87,158
86,84,168,181,86,74
86,86,153,176,79,80
87,86.5,84,91,88,160
87,86.5,165,176,83,88
86.5,86,83,96,88,155.5
84,89,87,84,87,149.5
86,86,168,171.5,79,75
86,80,164,177,84,74
87,86,164.5,173,81,72
82,84,152,173.5,77,79
81,81,98,87,119,85
85.5,85,145,176,74,78
81,81,98,88,126,85
86,87,90,99,85,111.5
83,88.5,98,86,115,86
85,86.5,88,84.5,88,86
84.5,85,167,157,92.5,72
85,88,88,85,88,87
92,86.5,87,91,88,158
86,99,133.5,174.5,97,75
83,89,82.5,89,87,156
81,84,92,91,88,159
87,86,152.5,174,80,79
86,86,87,85,83,88
81,75,82.5,86.5,87,161.5
82,87,154,181,77.5,76
87,86,98,86,119,87
83,80,82,87,87,160.5
86,84,92,91,72.5,157
86.5,85,152.5,176,79,79
83,81,167,156,92.5,72
88,85,165,176,85,86
81,83,98,85,119,86
83,86.5,98,86,112,124
84,85,98,87,86,90
83,81,166,177,81,91
81,82,85,91,88,158
84.5,86,164,173,82,75
82,84,130,173,96,74
81,82,83,89,87,156
82.5,93,98,87.5,126,85
82,84,83,85,87,160.5
79,86,83,86,86,159
88,83,98,84,119,86
81,81,83,87,87,159.5
85,84,98,86,85,90
86,86,98,86,119,83
84.5,86,90,90,87,160
83,82,98,88,86,90
86.5,89.5,168,179,88,72
86,87,166,177,83,91
87,86.5,143,175.5,74,78
85,82,98,86,110,128
81,82,83,90,87,160
87,86,87,84,83,86
82,86.5,147,177,83.5,79
86,87.5,90.5,104,87,88
86,87,84,91,87,157
86.5,83.5,145.5,178,81,78
82,82,98,88,126,86
82,78,83,91,88,160
83,81,164,176.5,85,88
84,86,98,85,119,87
81,80,86,83.5,84,88
81.5,81,88,85,86,86
92,86,86,91,87,159
83,81,99,86,109,128
84,83.5,92,90,82,158
80,82,168,179,88,72
83,82,87,92,88,160
80,79,149,175,77,79
82,81,166.5,181,88,74
86,87,98,88,86,86.5
86,85.5,130,176,96,74
87.5,99,87,84,83,86
82,79,170,159,90,72
79,85,166.5,167,83,69
85,85,87,85,83,86
81,80,165.5,172,81,73
81,80,98,88,85,87
87,86,87,84,83,87
81,79,98,85,115,86
85,90,129,174,95,74
87,84,165,176,83,87.5
81,80,83,87,87,159
83,88,166,174,79,73.5
87,86.5,151,175,77.5,78
86,85,78,98,91,128
82,84,92,90,88,159
81,80.5,91,103,86,107
85,81,86,85,83.5,87.5
83,83,84,98,90.5,128
81,82,169,171,80,73
84,86,87,87,84,88
82,83,164,173,84,72
94,86,90,86,92,128
81,81,152.5,176,79,80
86,86.5,165.5,174,80,76
87,85.5,92,90.5,87,156.5
86,86.5,98,86,86,90
83,81,89,103,85,114.5
81,80,165,174,83,88
,,96,85,113,128
,,87,84.5,83.5,88
,,98,87,122.5,85
,,98,89,101,86
,,83,88,87,156
,,98,86,85,90
,,165,175,83,88
,,150,176.5,77,78
,,98,86,112,128
,,168,157,93,72
,,87,85,88,87
,,98,84,119,87
,,98,88,126,86
,,98,87,126,85
,,153,176,80,80
,,130,172,96,74
,,150,175,77.5,78
,,90,103,86,110
,,152.5,172,78,80
,,132.5,175,97,74
,,98,86,115,128
,,83,95,87,153.5
,,151,175,77.5,78
,,90,91,87.5,160
,,87,92,88,158
,,89,85,88,82
,,167,178,80,73.5
,,83,83,87,159
,,151,174,76.5,79
,,165,174,82,87
,,133,173,93,76
,,152,175,77.5,79
,,98,84.5,119,87
,,98,88,126,85
,,92,89,87,159
,,138,174,93,76
,,164,176.5,85,73.5
,,83,88,87,158
